experiment:_Bos_taurus_9913_-_Cellular_component:_cols-genes_10__rows-features_207__vals-annotazioni_7658_threshold=0.45_HUs=25
(gene oid, feature oid)
(4153770, 216595),
(4153770, 216597),
(4153770, 217513),
(4153770, 217533),
(4159295, 216593),
(4159295, 216597),
(4151761, 216592),
(4151761, 216593),
(4151761, 216595),
(4151761, 216597),
(4165585, 200816),
(4165585, 217533),
(4152372, 200816),
(4152372, 217533),
(4162577, 200816),
(4162577, 216592),
(4162577, 216593),
(4162577, 216595),
(4162577, 216597),
(4162577, 217533),
(4152779, 217533),
(4152393, 200816),
(4152393, 216593),
(4152393, 216597),
(4152393, 217533),
(4151931, 216592),
(4151931, 216593),
(4151931, 216595),
(4151931, 216597),
(4151931, 217533),
(4152789, 216592),
(4152789, 216593),
(4152789, 216595),
(4152789, 216597),
(4153348, 200713),
(4153348, 200816),
(4153348, 216592),
(4153348, 216593),
(4153348, 216595),
(4153348, 216597),
(4153348, 217513),
(4153348, 217533),
(4160312, 200816),
(4160312, 216592),
(4160312, 216593),
(4160312, 216595),
(4160312, 216597),
(4160312, 217533),
(4154885, 216593),
(4154885, 216597),
(4164851, 200816),
(4164851, 217533),
(4152072, 200713),
(4152072, 200714),
(4152072, 200816),
(4152072, 216592),
(4152072, 216593),
(4152072, 216595),
(4152072, 216597),
(4152072, 217511),
(4152072, 217513),
(4152072, 217533),
(4152072, 217552),
(4161459, 216592),
(4161459, 216593),
(4161459, 216595),
(4161459, 216597),
(4153038, 200816),
(4153038, 216593),
(4153038, 216597),
(4153038, 217533),
(4156138, 217533),
(4153193, 216592),
(4153193, 216593),
(4153193, 216595),
(4153193, 216597),
(4153193, 217533),
(4169624, 200713),
(4169624, 200816),
(4169624, 216592),
(4169624, 216593),
(4169624, 216595),
(4169624, 216597),
(4169624, 217513),
(4169624, 217533),
(4153010, 216592),
(4153010, 216593),
(4153010, 216595),
(4153010, 216597),
(4153010, 217533),
(4175377, 216592),
(4175377, 216593),
(4175377, 216595),
